nID;sName;nOrder;nID_Subcategory;sInfo;sFAQ;sLaw;nOpenedLimit;sSubjectOperatorName
34;Скасування запису Державного реєстру речових прав на нерухоме майно;100;1;;;;0;Реєстраційна служба управління юстиції
35;Надання будівельних паспортів забудови земельних ділянок;100;1;;;;0;Міська рада
36;Надання вихідних даних для проектування (містобудівні умови та обмеження забудови земельних ділянок);100;1;;;;0;Міська рада
37;Надання паспортів прив’язки тимчасових споруд для здійснення підприємницької діяльності;100;7;;;;0;Міська рада
38;Підготовка технічних висновків про вплив переобладнань на несучу спроможність конструкцій і технічний стан об’єкта нерухомості;100;1;;;;0;Міська рада
39;Видача висновку державної землевпорядної експертизи землевпорядної документації щодо об’єктів, які підлягають обов’язковій державній експертизі;100;1;;;;0;Державне земельне агентство
41;Виправлення технічної помилки у відомостях з державного земельного кадастру, яка була допущена органом, що здійснює його ведення;100;1;[*];;;0;Державне земельне агентство
42;Внесення до Державного земельного кадастру відомостей (змін до них) про землі в межах території адміністративно-територіальних одиниць;100;1;;;;0;Державне земельне агентство
43;Внесення до Державного земельного кадастру відомостей про обмеження у використанні земель, встановлені законами та прийнятими відповідно до них нормативно-правовими актами;100;1;;;;0;Державне земельне агентство
44;Державна реєстрація обмежень у використанні земель;100;1;;;;0;Державне земельне агентство
45;Надання відомостей з Державного земельного кадастру у формі викопіювань з кадастрової карти (плану) та іншої картографічної документації Державного земельного кадастру;100;1;[*];;;0;Державне земельне агентство
46;Надання відомостей з державного земельного кадастру у формі витягу з державного земельного кадастру про землі в межах території адміністративно-територіальних одиниць;100;1;[*];;;0;Державне земельне агентство
47;Надання відомостей з Державного земельного кадастру у формі витягу з Державного земельного кадастру про обмеження у використанні земель;100;1;[*];;;0;Державне земельне агентство
48;Надання відомостей з Державного земельного кадастру у формі довідки, що містить узагальнену інформацію про землі (території);100;1;[*];;;0;Державне земельне агентство
49;Видача листа про прийняття рішення щодо можливості/неможливості видачі дозволу на викиди забруднюючих речовин в атмосферне повітря стаціонарними джерелами суб`єкта господарювання, об`єкт якого належить до другої або третьої групи;100;9;[*];;[*];0;Головне управління держсанепідслужби
50;Направлення в дошкільні навчальні заклади (групи) компенсуючого типу;100;20;;;;0;Міська рада
51;Внесення змін до декларації про готовність об`єкта до експлуатації;100;7;;;;0;Обласна державна адміністрація
52;Внесення змін до декларації про початок виконання будівельних робіт;100;7;;;;0;Обласна державна адміністрація
53;Внесення змін до декларації про початок виконання підготовчих робіт;100;7;;;;0;Обласна державна адміністрація
54;Реєстрація декларації про готовність об`єкта до експлуатації;100;7;;;;0;Обласна державна адміністрація
55;Реєстрація декларації про початок будівельних робіт;100;7;;;;0;Обласна державна адміністрація
56;Реєстрація декларації про початок виконання підготовчих робіт;100;7;;;;0;Обласна державна адміністрація
57;Державна реєстрація (перереєстрація) іноземних інвестицій та її анулювання;100;10;;;;0;Обласна державна адміністрація
58;Державна реєстрація договорів (контрактів) про спільну інвестиційну діяльність за участю іноземного інвестора;100;10;;;;0;Обласна державна адміністрація
59;Ліцензія на здійснення суб’єктами зовнішньоекономічної діяльності експорту товарів;100;10;;;;0;Обласна державна адміністрація
60;Ліцензія на здійснення суб’єктами зовнішньоекономічної діяльності імпорту товарів;100;10;;;;0;Обласна державна адміністрація
62;Свідоцтво про внесення суб’єкта видавничої справи до Державного реєстру видавців, виготівників і розповсюджувачів видавничої продукції;100;11;;;;0;Обласна державна адміністрація
63;Надання ордеру на видалення зелених насаджень;100;7;[*];;;0;Міська рада
64;Надання дозволу на відновлення земельних робіт;100;7;;;;0;Обласна державна адміністрація
65;Дозвіл на внесення суб’єкта кінематографії до державного реєстру виробників, розповсюджувачів і демонстраторів фільмів;100;11;;;;0;Обласна державна адміністрація
66;Дозвіл на проведення робіт на пам’ятках місцевого значення (крім пам’яток археології), їх територіях та в зонах охорони;100;11;;;;0;Обласна державна адміністрація
67;Погодження розміщення реклами на пам’ятках місцевого значення, в межах зон охорони таких пам’яток;100;7;;;;0;Обласна державна адміністрація
68;Реєстрація дозволів на проведення археологічних розвідок, розкопок;100;11;;;;0;Обласна державна адміністрація
69;Свідоцтво про атестацію початкових спеціалізованих мистецьких навчальних закладів;100;13;;;;0;Обласна державна адміністрація
70;Надання ліцензія на здійснення освітньої діяльності у сфері дошкільної освіти;100;13;;;;0;Обласна державна адміністрація
71;Надання ліцензія на здійснення освітньої діяльності у сфері загальної середньої освіти;100;13;;;;0;Обласна державна адміністрація
72;Надання ліцензія на здійснення освітньої діяльності у сфері позашкільної освіти;100;13;;;;0;Обласна державна адміністрація
73;Переоформлення, видача копії або дубліката ліцензії на надання освітніх послуг у сфері загальної середньої, дошкільної, позашкільної освіти;100;13;[*];;;0;Обласна державна адміністрація
74;Організація об’єкта з надання ринкових послуг (ринкового об’єкта);100;7;;;;0;Обласна державна адміністрація
79;Видача виписки з Єдиного державного реєстру юридичних осіб та фізичних осіб – підприємців;100;15;;;;0;Реєстраційна служба управління юстиції
80;Видача витягу з Єдиного державного реєстру юридичних осіб та фізичних осіб – підприємців;100;15;;;;0;Реєстраційна служба управління юстиції
81;Видача довідки з Єдиного державного реєстру юридичних осіб та фізичних осіб-підприємців;100;15;;;;0;Реєстраційна служба управління юстиції
82;Включення до Єдиного державного реєстру юридичних осіб та фізичних осіб – підприємців відомостей про закриття відокремленого підрозділу юридичної особи;100;15;;;;0;Реєстраційна служба управління юстиції
83;Включення до Єдиного державного реєстру юридичних осіб та фізичних осіб – підприємців відомостей про створення відокремленого підрозділу юридичної особи;100;15;;;;0;Реєстраційна служба управління юстиції
84;Внесення до Єдиного державного реєстру юридичних осіб та фізичних осіб – підприємців запису про втрату оригіналів установчих документів юридичної особи;100;15;;;;0;Реєстраційна служба управління юстиції
85;Надання довідки про невідвідування дошкільного закладу дитиною;100;20;;;;0;Міська рада
86;Державна реєстрація змін до установчих документів юридичної особи;100;15;;;;0;Реєстраційна служба управління юстиції
87;Державна реєстрація припинення підприємницької діяльності фізичної особи – підприємця за її рішенням;100;15;;;;0;Реєстраційна служба управління юстиції
88;Державна реєстрація припинення юридичної особи в результаті злиття, приєднання, поділу або перетворення;100;15;;;;0;Реєстраційна служба управління юстиції
89;Державна реєстрація припинення юридичної особи в результаті її ліквідації;100;15;;;;0;Реєстраційна служба управління юстиції
90;Державна реєстрація фізичної особи-підприємця;100;15;;;;0;Реєстраційна служба управління юстиції
91;Державна реєстрація юридичної особи;100;15;;;;0;Реєстраційна служба управління юстиції
92;Відомча реєстрація великотоннажних та інших технологічних транспортних засобів, що не підлягають експлуатації на вулично-дорожній мережі загального користування;100;8;;;;0;Державна служба гірничого нагляду та промислової безпеки
93;Зняття з обліку великотоннажних та інших технологічних транспортних засобів, що не підлягають експлуатації на вулично-дорожній мережі загального користування;100;8;;;;0;Державна служба гірничого нагляду та промислової безпеки
94;Перереєстрація великотоннажних та інших технологічних транспортних засобів, що не підлягають експлуатації на вулично-дорожній мережі загального користування;100;8;;;;0;Державна служба гірничого нагляду та промислової безпеки
95;Тимчасова реєстрація великотоннажних та інших технологічних транспортних засобів, що не підлягають експлуатації на вулично-дорожній мережі загального користування;100;8;;;;0;Державна служба гірничого нагляду та промислової безпеки
96;Надання дозволу релігійним організаціям на проведення релігійних заходів, які проводяться поза межами культових споруд;100;11;[*];;;0;Міська рада
98;Видача відомостей з документації із землеустрою, що включена до державного фонду документації із землеустрою;100;1;;;;0;Державне земельне агентство
99;Внесення до Державного земельного кадастру відомостей (змін до них) про земельну ділянку;100;1;[*];;;0;Державне земельне агентство
100;Державна реєстрація земельної ділянки з видачею витягу з Державного земельного кадастру;100;1;[*];;;0;Державне земельне агентство
101;Надання відомостей з Державного земельного кадастру у формі витягу з Державного земельного кадастру про земельну ділянку;100;1;;;;0;Державне земельне агентство
102;Надання довідки з Державної статистичної звітності про наявність земель та розподіл їх за власниками земель, землекористувачами, угіддями (за даними форми 6-ЗЕМ);100;1;[*];;;0;Державне земельне агентство
103;Анулювання свідоцтв про право власності на житло;100;4;;;;0;Міська рада
104;Приватизація державного житлового фонду;100;4;;;;0;Міська рада
105;Приватизація житлових приміщень (кімнат, квартир) у гуртожитках що належать до комунальної власності територіальної громади міста;100;4;;;;0;Міська рада
108;_Висновок державної санітарно-епідеміологічної експертизи документації на розроблювану техніку, технології, устаткування, інструменти тощо;100;9;;;;0;Головне управління держсанепідслужби
109;Надання дозволу на виготовлення технічної документації із землеустрою щодо посвідчення права користування земельною ділянкою;100;1;;;;0;Міська рада
115;Декларація відповідності матеріально-технічної бази роботодавця вимогам законодавства з питань охорони праці та промислової безпеки;100;8;;;;0;Державна служба гірничого нагляду та промислової безпеки
121;Узгодження маршрутів дорожнього перевезення небезпечного вантажу;100;17;[*];;;0;Державна Автомобільна Інспекція
122;Реєстрація декларації відповідності матеріально-технічної бази суб’єкта господарювання вимогам законодавства з питань пожежної безпеки;100;15;;;;0;Державна служба з надзвичайних ситуацій
124;Прийняття рішення щодо передачі земельних ділянок сільськогосподарського призначення державної власності (для юридичних осіб та фізичних осіб-підприємців);100;7;;;;0;Державне земельне агентство
126;Надання дозволу на відведення земельної ділянки у власність;100;1;[*];;;0;Міська рада
127;Надання дозволу на відведення земельної ділянки в оренду;100;1;[*];;;0;Міська рада
128;Надання дозволу на відведення земельної ділянки у постійне користування;100;1;[*];;;0;Міська рада
129;_Висновок державної санітарно-епідеміологічної експертизи щодо продукції, напівфабрикатів, речовин, матеріалів та небезпечних факторів, використання, передача або збут яких може завдати шкоду здоров’ю людей;100;9;;;;0;Головне управління держсанепідслужби
130;_Дозвіл (санітарний паспорт) на постійні перевезення ДІВ (радіоактивних речовин і матеріалів, пристроїв і установок із джерелами іонізуючих випромінювань і радіоактивних відходів) спеціалізованим транспортним засобом;100;9;;;;0;Головне управління держсанепідслужби
133;Дозвіл на всі види досліджень з мікроорганізмами ІІ групи патогенності (небезпеки) або матеріалом підозрілим на їх вміст (за винятком установ медичного профілю);100;12;[*];;;0;Головне управління держсанепідслужби
134;Дозвіл на всі види досліджень та експериментальні роботи з мікроорганізмами ІІІ-IV групи патогенності (небезпеки) або матеріалом підозрілим на їх вміст (в т.ч. приватним лабораторіям);100;12;[*];;;0;Головне управління держсанепідслужби
135;Дозвіл на проведення діагностичних, експериментальних, випробувальних, вимірювальних робіт на підприємствах, в установах та організаціях, діяльність яких пов`язана з використанням джерел неіонізуючого випромінювання;100;12;[*];;;0;Головне управління держсанепідслужби
136;Експлуатаційний дозвіл операторам потужностей (об’єктів), що здійснюють в Україні діяльність з виробництва та/або обігу харчових продуктів, підконтрольних санітарній службі;100;12;[*];;;0;Головне управління держсанепідслужби
137;Дозвіл на викиди забруднюючих речовин в атмосферне повітря стаціонарними джерелами;100;9;;;;0;Обласна державна адміністрація
138;Дозвіл на спеціальне водокористування в разі використання води водних об’єктів загальнодержавного значення;100;9;;;;0;Виконавчий комітет міської ради
139;Копії рішень міської ради про надання дозволу на розроблення проекту відведення земельної ділянки;100;7;[*];;;0;Виконавчий комітет міської ради
140;Копії рішень міської ради про надання земельних ділянок державної комунальної власності у користування;100;7;[*];;;0;Виконавчий комітет міської ради
141;Копії рішень міської ради про передачу в оренду земельних ділянок, що перебувають у державній або комунальній власності;100;7;[*];;;0;Виконавчий комітет міської ради
142;Копії рішень міської ради про продаж земельних ділянок державної та комунальної власності;100;7;[*];;;0;Виконавчий комітет міської ради
143;Спеціальний дозвіл на зняття та перенесення ґрунтового покриву (родючого шару грунту) земельних ділянок;100;7;[*];;;0;Державна інспекція сільського господарства
145;Декларація про початок виконання підготовчих робіт;100;7;;;;0;Інспекція державного архітектурно-будівельного контролю
148;Дозвіл на виконання робіт підвищеної небезпеки та на експлуатацію (застосування) машин, механізмів, устаткування підвищеної небезпеки;100;8;;;;0;Державна служба гірничого нагляду та промислової безпеки
149;Дозвіл на рух великогабаритних та великовагових транспортних засобів автомобільними дорогами, вулицями, залізничними переїздами;100;17;[*];;;0;Державна Автомобільна Інспекція
151;Експлуатаційний дозвіл для провадження діяльності на потужностях (об’єктах) з переробки неїстівних продуктів тваринного походження або з виробництва, змішування та приготування кормових добавок, преміксів і кормів;100;12;[*];;;0;Державна ветеринарна та фітосанітарна служба
152;Експлуатаційний дозвіл операторам потужностей (об’єктів), що здійснюють виробництво харчових продуктів, підконтрольних ветеринарній службі, та для агропродовольчих ринків;100;12;[*];;;0;Державна ветеринарна та фітосанітарна служба
153;Дозвіл на розміщення зовнішньої реклами поза межами населених пунктів області;100;7;[*];;;0;Обласна державна адміністрація
154;_Висновок державної санітарно - епідеміологічної експертизи діючих об’єктів;100;9;;;;0;Головне управління держсанепідслужби
155;_Висновок державної санітарно-епідеміологічної експертизи щодо об’єктів поводження з відходами;100;9;;;;0;Головне управління держсанепідслужби
156;Дозвіл (санітарний паспорт) на право експлуатації рентгенівського кабінету (зберігання та експлуатації пересувних і переносних (палатних) рентгенівських апаратів) лікувально-профілактичних закладів;100;12;[*];;;0;Головне управління держсанепідслужби
157;Дозвіл (санітарний паспорт) на проведення робіт з джерелами іонізуючих випромінювань в установах ;100;12;[*];;;0;Головне управління держсанепідслужби
158;Дозвіл на спеціальне використання водних біоресурсів у рибогосподарських водних об’єктах (їх частинах);100;9;[*];;;0;Державне агентство рибного господарства
159;Реєстрація авто з пробігом в МРЕВ;100;3;[*];;;0;Державна Автомобільна Інспекція
160;Отримання разової (індивідуальної) ліцензії на здійснення суб’єктами зовнішньоекономічної діяльності зовнішньоекономічних операцій;100;10;;;;0;Обласна державна адміністрація
161;Запит на отримання публічної інформації (ОДА,РДА);100;2;;;;0;Обласна державна адміністрація, Районна державна адміністрація
162;Набуття громадянства за народженням;100;4;;;;0;Державна міграційна служба
163;Набуття громадянства за територіальним походженням;100;4;;;;0;Державна міграційна служба
164;Прийняття до громадянства ;100;4;;;;0;Державна міграційна служба
165;Поновлення у громадянстві ;100;4;;;;0;Державна міграційна служба
166;Набуття дітьми громадянства внаслідок усиновлення;100;4;;;;0;Державна міграційна служба
167;Набуття громадянства внаслідок встановлення над дитиною опіки чи піклування, влаштування дитини в дитячий заклад чи заклад охорони здоров’я, у дитячий будинок сімейного типу чи прийомну сім’ю або передачі на виховання в сім’ю патронатного вихователя;100;4;;;;0;Державна міграційна служба
168;Набуття громадянства особою, визнаною судом недієздатною, внаслідок встановлення над нею опіки громадянина ;100;4;;;;0;Державна міграційна служба
169;Набуття громадянства дитиною у зв’язку з перебуванням у громадянстві її батьків чи одного з них;100;4;;;;0;Державна міграційна служба
170;Набуття громадянства внаслідок визнання батьківства чи материнства або встановлення факту батьківства чи материнства;100;4;;;;0;Державна міграційна служба
171;Оформлення та видача довідки про реєстрацію особи громадянином ;100;4;;;;0;Державна міграційна служба
172;Видача тимчасового посвідчення громадянина ;100;4;;;;0;Державна міграційна служба
173;Обмін паспорта громадянина в разі зміни (переміни) прізвища, імені або по батькові;7;4;[*];;;0;Державна міграційна служба
174;Обмін паспорта громадянина у зв’язку із встановленням розбіжностей у записах;100;4;;;;0;Державна міграційна служба
175;Обмін паспорта громадянина у разі непридатності для користування;100;4;[*];;;0;Державна міграційна служба
176;Видача/заміна паспорта громадянина для виїзду за кордон;1;4;[*];;;0;Державна міграційна служба
177;Видача паспорта громадянина для виїзду за кордон для дитини;2;4;[*];;;0;Державна міграційна служба
178;Видача паспорта громадянина для виїзду за кордон замість утраченого або викраденого;100;4;;;;0;Державна міграційна служба
179;Внесення відомостей про другий паспорт громадянина для виїзду за кордон у паспорт громадянина для виїзду за кордон;100;4;;;;0;Державна міграційна служба
180;Внесення відомостей до паспорта громадянина для виїзду за кордон громадянам, які повернулись на постійне проживання в Україну;100;4;;;;0;Державна міграційна служба
181;Надання дозволу на виїзд на постійне місце проживання закордон;100;4;;;;0;Державна міграційна служба
184;Реєстрація місця проживання дитини до чотирнадцяти років;5;4;[*];;;0;Державна міграційна служба
185;Зняття з реєстрації місця проживання дитини до чотирнадцяти років;6;4;[*];;;0;Державна міграційна служба
186;Видача посвідчення особи без громадянства для виїзду за кордон;100;4;;;;0;Державна міграційна служба
187;Оформлення посвідки на постійне проживання іноземцям та особам без громадянства, які іммігрували в Україну на постійне проживання;100;4;;;;0;Державна міграційна служба
188;Отримання дозволу на імміграцію;100;4;;;;0;Державна міграційна служба
189;Продовження строку перебування на території (обчислення дозволеного строку перебування);100;4;;;;0;Державна міграційна служба
190;Видача посвідки на тимчасове проживання;100;4;;;;0;Державна міграційна служба
191;Оформлення і видача запрошень іноземцям та особам без громадянства на отримання візових документів для в’їзду в Україну за клопотаннями юридичних осіб;100;4;;;;0;Державна міграційна служба
192;Оформлення і видача запрошень іноземцям та особам без громадянства на отримання візових документів для в’їзду в Україну за заявами фізичних осіб;100;4;;;;0;Державна міграційна служба
193;_Інформація про виконання плану заходів щодо інтеграції біженців та осіб, які потребують додаткового захисту, в українське суспільство на період до 2020 року;100;4;;;;0;Державна міграційна служба
194;Для осіб, що звертаються за захистом в Україні;100;4;;;;0;Державна міграційна служба
195;Сертифікація зброї, конструктивно схожих із нею виробів, набоїв, виробів піротехнічних побутового призначення та феєрверків з видачею сертифікатів (за схемами згідно з ДСТУ 3413): схема № 1 (одиничний виріб);100;3;;;;0;Міністерство внутрішніх справ
196;Сертифікація зброї, конструктивно схожих із нею виробів, набоїв, виробів піротехнічних побутового призначення та феєрверків з видачею сертифікатів (за схемами згідно з ДСТУ 3413):схема  № 2 (партія продукції) (модифікація);100;3;;;;0;Міністерство внутрішніх справ
197;Сертифікація зброї, конструктивно схожих із нею виробів, набоїв, виробів піротехнічних побутового призначення та феєрверків з видачею сертифікатів (за схемами згідно з ДСТУ 3413): схема № 3 (серійне виробництво продукції на підставі аналізу документації) (модифікація);100;3;;;;0;Міністерство внутрішніх справ
198;Сертифікація зброї, конструктивно схожих із нею виробів, набоїв, виробів піротехнічних побутового призначення та феєрверків з видачею сертифікатів (за схемами згідно з ДСТУ 3413): схема № 4 (серійне виробництво продукції з обстеженням виробництва);100;3;;;;0;Міністерство внутрішніх справ
203;Видача дозволів на придбання і перевезення вогнепальної зброї, боєприпасів, інших предметів, на які поширюється дозвільна система, і пов’язане з цим оформлення документів;100;3;;;;0;Міністерство внутрішніх справ
205;Видача (реєстрація, перереєстрація) дозволу на зберігання і носіння: нагородної зброї;100;3;;;;0;Міністерство внутрішніх справ
206;Видача (реєстрація, перереєстрація) дозволу на зберігання і носіння: мисливської, холодної, пневматичної зброї, інших предметів, на які поширюється дозвільна система;100;3;;;;0;Міністерство внутрішніх справ
207;Видача дозволу (оформлення документів) на: відкриття та функціонування об’єктів дозвільної системи, що працюють з вибуховими матеріалами, піротехнічних майстерень та інших об’єктів відповідно до Положення про дозвільну систему, затвердженого постановою Кабінету Міністрів від 12 жовтня 1992 р. №576;100;3;;;;0;Міністерство внутрішніх справ
208;Видача дозволу (оформлення документів) на: зберігання вогнепальної зброї, боєприпасів до неї, інших предметів і матеріалів, на які поширюється дозвільна система, на об’єктах дозвільної системи;100;3;;;;0;Міністерство внутрішніх справ
