nID;sName;nID_ServiceData;nID_SubjectOrganDepartment;sID_BP
43;ДМС, ДнДз, пр. Перемоги, 63;497;30;dnepr_dms-89Dn
44;ДМС, ДнДз, вул. Комунарна, 10а;497;31;dnepr_dms-89Dn
45;ЦНАП, Вольногорск;506;32;dnepr_dms-89Vln
46;ДМС, Днепр, пр. Ильича, 3;496;13;dnepr_dms-257
47;ДМС, Днепр, вул. Кожем’яки, 17;448;23;dnepr_dms-205
48;ДМС, Днепр, вул. Кожем’яки, 17;468;23;dnepr_dms-227
49;ДМС, Днепр, вул. Кожем’яки, 17;496;23;dnepr_dms-257
50;ДМС, Днепр, вул. Янтарна, 75-а;448;24;dnepr_dms-205
51;ДМС, Днепр, вул. Янтарна, 75-а;468;24;dnepr_dms-227
52;ДМС, Днепр, вул. Янтарна, 75-а;496;24;dnepr_dms-257
53;ДМС, Днепр, вул. Плеханова, 34;448;25;dnepr_dms-205
54;ДМС, Днепр, вул. Плеханова, 34;468;25;dnepr_dms-227
55;ДМС, Днепр, вул. Плеханова, 34;496;25;dnepr_dms-257
56;ДМС, Днепр, вул. Шевченко, 7;448;14;dnepr_dms-205
57;ДМС, Днепр, вул. Шевченко, 7;468;14;dnepr_dms-227
58;ДМС, Днепр, вул. Шевченко, 7;496;14;dnepr_dms-257
59;ДМС, ДнДз, вул. Беспалова, 2А;511;29;dnepr_dms-89sDn
60;ДМС, ДнДз, пр. Перемоги, 63;511;30;dnepr_dms-89sDn
61;ДМС, ДнДз, вул. Комунарна, 10а;511;31;dnepr_dms-89sDn
62;ЦНАП, Первомайский;161;41;dnepr_dms-89
63;ДМС, Днепр, вул. Плеханова, 34;518;25;dnepr_dms-272
64;ДМС, Днепр, вул. Плеханова, 34;519;25;dnepr_dms-272kr
65;ДМС, Днепр, вул. Плеханова, 34;542;25;dnepr_dms-280
66;ДМС, Днепр, пр. Ильича, 3;518;13;dnepr_dms-272
67;ДМС, Днепр, пр. Ильича, 3;519;13;dnepr_dms-272kr
68;ЦНАП, Тернопольский район;636;35;dnepr_dms-89
69;ЦНАП, Комінтернівский район;640;36;dnepr_dms-89
70;ЦНАП, Теплицький район;635;37;dnepr_dms-89
71;ЦНАП, Житомир;639;38;dnepr_dms-89
72;ЦНАП, Кременчук;638;39;dnepr_dms-89
73;ЦНАП, Вишгород;687;40;dnepr_dms-89
74;ДМС, Червоноград;725;42;dnepr_dms-89
75;ЦНАП Кобеляки;788;43;dnepr_dms-89
